Order_ID,Gender_Category,Product_Line,Product_Name,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit,clothing_sizes,Shoe_Size,years,month
2000,Kids,Training,SuperRep Go,1.0,9671.05,0.47,5125.66,2024/03/09,Online,Bangalore,770.45,M,,2024.0,3.0
2001,Women,Soccer,Tiempo Legend,3.0,4957.93,0.0,14873.79,2024/07/09,Retail,Hyderabad,112.53,M,,2024.0,7.0
2002,Women,Soccer,Premier III,4.0,5172.14,0.0,20688.56,,Retail,Mumbai,3337.34,M,,,
2003,Kids,Lifestyle,Blazer Mid,1.0,9673.57,0.0,9673.57,2024/04/10,Online,Pune,3376.85,L,,2024.0,4.0
2004,Kids,Running,React Infinity,1.0,7557.71,0.0,7557.71,2024/09/12,Retail,Delhi,187.89,XL,,2024.0,9.0
2005,Women,Training,Flex Trainer,1.0,7363.96,0.0,7363.96,,Retail,Delhi,1415.98,M,,,
2006,Men,Training,SuperRep Go,1.0,6819.78,0.0,6819.78,2025/04/06,Online,Bangalore,1802.09,M,,2025.0,4.0
2007,Kids,Training,SuperRep Go,1.0,9671.05,0.32,6576.31,,Retail,Bangalore,2928.36,M,,,
2008,Women,Soccer,Premier III,1.0,5172.14,0.0,5172.14,2024/11/10,Online,Hyderabad,731.18,,11.0,2024.0,11.0
2009,Men,Soccer,Mercurial Superfly,4.0,6196.01,0.0,24784.04,,Online,Pune,3929.61,M,,,
2010,Kids,Lifestyle,Waffle One,1.0,7949.83,0.0,7949.83,2025/01/16,Online,Pune,1965.56,L,,2025.0,1.0
2011,Women,Training,Flex Trainer,1.0,9586.08,0.0,9586.08,,Retail,Hyderabad,1667.08,L,,,
2018,Kids,Lifestyle,Blazer Mid,1.0,9673.57,0.86,1354.3,2024/11/13,Online,Delhi,2109.48,,,2024.0,11.0
2013,Kids,Training,SuperRep Go,1.0,9671.05,0.0,9671.05,2024/09/19,Online,Hyderabad,299.34,,,2024.0,9.0
2014,Women,Running,React Infinity,1.0,8136.39,0.0,8136.39,2025/04/12,Online,Bangalore,1044.4,,11.0,2025.0,4.0
2015,Kids,Basketball,Air Jordan,1.0,3285.52,0.0,3285.52,2025/05/31,Retail,Kolkata,1193.21,,,2025.0,5.0
2016,Women,Basketball,Air Jordan,1.0,9871.75,0.3,6910.22,,Retail,Hyderabad,2452.69,M,,,
2017,Women,Basketball,Air Jordan,4.0,9871.75,0.0,39487.0,2025/03/17,Retail,Delhi,1946.24,,9.0,2025.0,3.0
2018,Men,Training,Metcon 7,69.0,4020.5,0.99,2774.15,,Online,Bangalore,966.89,XL,,,
2019,Kids,Running,Air Zoom,2.0,3424.06,0.32,4656.72,2025/01/17,Online,Hyderabad,1915.24,,6.0,2025.0,1.0
2020,Kids,Soccer,Tiempo Legend,1.0,5553.88,0.67,1832.78,2025/03/28,Retail,Mumbai,439.96,L,,2025.0,3.0
2021,Men,Running,Free RN,1.0,7086.7,0.66,2409.48,2024/11/19,Retail,Hyderabad,1120.49,L,,2024.0,11.0
2022,Women,Soccer,Premier III,2.0,5172.14,0.0,10344.28,2024/09/24,Online,Pune,3427.16,M,,2024.0,9.0
2023,Men,Lifestyle,Waffle One,1.0,5003.95,0.0,5003.95,2025/10/01,Online,Mumbai,1498.37,M,,2025.0,10.0
2024,Kids,Training,SuperRep Go,1.0,9671.05,0.5,4835.52,2024/12/28,Retail,Bangalore,1842.35,XL,,2024.0,12.0
2025,Women,Basketball,Kyrie Flytrap,3.0,9820.5,0.0,29461.5,,Retail,Mumbai,1900.15,M,,,
2026,Kids,Lifestyle,Blazer Mid,1.0,9673.57,0.16,8125.8,2024/08/10,Retail,Kolkata,2301.64,XL,,2024.0,8.0
2027,Men,Basketball,Zoom Freak,1.0,9106.61,0.22,7103.16,,Online,Pune,138.74,XL,,,
2028,Men,Training,Flex Trainer,1.0,3270.23,0.0,3270.23,,Retail,Delhi,946.86,,12.0,,
2029,Men,Training,ZoomX Invincible,1.0,5690.69,0.0,5690.69,2023/10/28,Online,Bangalore,185.67,,12.0,2023.0,10.0
2030,Men,Soccer,Phantom GT,7.0,5259.05,0.99,368.13,2025/07/14,Retail,Hyderabad,122.93,XL,,2025.0,7.0
2031,Men,Soccer,Premier III,4.0,3493.04,0.82,2514.99,2024/05/09,Online,Delhi,350.7,,,2024.0,5.0
2032,Women,Lifestyle,Blazer Mid,1.0,7670.82,0.99,0.0,2025/11/04,Retail,Mumbai,555.16,XL,,2025.0,11.0
2033,Men,Soccer,Mercurial Superfly,1.0,6196.01,0.0,6196.01,,Retail,Kolkata,1005.71,XL,,,
2034,Men,Basketball,Air Jordan,1.0,6235.71,0.0,6235.71,2025/04/30,Retail,Delhi,267.37,,6.0,2025.0,4.0
2035,Kids,Basketball,Zoom Freak,4.0,4656.28,0.38,11547.57,2024/11/17,Online,Bangalore,2914.83,,,2024.0,11.0
2036,Men,Training,Metcon 7,3.0,4020.5,0.0,12061.5,2025/02/15,Retail,Bangalore,143.8,,,2025.0,2.0
2037,Kids,Running,Pegasus Turbo,3.0,5653.14,0.99,0.0,,Retail,Pune,2776.96,,7.0,,
2038,Kids,Running,Free RN,10.0,2010.07,0.83,3417.12,,Online,Delhi,1163.21,,,,
2039,Women,Training,Flex Trainer,1.0,2767.7,0.63,1024.05,2025/04/22,Retail,Hyderabad,336.3,M,,2025.0,4.0
2002,Women,Basketball,Zoom Freak,3.0,5075.22,0.0,15225.66,2025/07/03,Retail,Delhi,145.08,XL,,2025.0,7.0
2041,Kids,Soccer,Tiempo Legend,1.0,5553.88,0.0,5553.88,2025/03/05,Online,Hyderabad,2371.66,,12.0,2025.0,3.0
2042,Women,Basketball,Kyrie Flytrap,1.0,9820.5,0.0,9820.5,2025/04/19,Online,Hyderabad,862.16,L,,2025.0,4.0
2043,Men,Soccer,Premier III,13.0,3492.89,0.77,10443.74,2024/05/02,Retail,Delhi,3770.75,XL,,2024.0,5.0
2044,Kids,Training,SuperRep Go,1.0,9671.05,0.0,9671.05,2023/09/06,Online,Delhi,2174.71,,,2023.0,9.0
2045,Kids,Lifestyle,Dunk Low,4.0,6202.99,0.0,24811.96,2025/04/06,Retail,Delhi,1833.94,XL,,2025.0,4.0
2046,Kids,Running,Air Zoom,107.0,3424.06,0.99,3663.74,,Online,Kolkata,1284.33,,12.0,,
2047,Women,Training,SuperRep Go,1.0,8577.75,0.0,8577.75,2024/06/13,Retail,Bangalore,2888.68,,10.0,2024.0,6.0
2048,Women,Basketball,Air Jordan,1.0,9871.75,0.0,9871.75,2024/10/27,Online,Bangalore,2875.86,XL,,2024.0,10.0
2049,Kids,Soccer,Tiempo Legend,1.0,7767.2,0.0,7767.2,,Retail,Pune,311.48,L,,,
2050,Men,Running,Air Zoom,1.0,7143.23,0.57,3071.59,,Retail,Kolkata,682.12,L,,,
2051,Women,Basketball,Air Jordan,1.0,9871.75,0.37,6219.2,2024/01/05,Retail,Delhi,3135.98,XL,,2024.0,1.0
2052,Men,Training,Flex Trainer,3.0,9155.96,0.0,27467.88,2024/10/08,Retail,Pune,2184.8,,10.0,2024.0,10.0
2053,Men,Lifestyle,Air Force 1,3.0,6009.58,0.0,18028.74,2024/10/02,Online,Delhi,3384.92,XL,,2024.0,10.0
2054,Women,Training,Flex Trainer,1.0,7363.96,0.0,7363.96,2025/06/23,Online,Mumbai,549.76,,11.0,2025.0,6.0
2055,Men,Basketball,Kyrie Flytrap,1.0,7561.85,0.0,7561.85,2024/10/26,Online,Hyderabad,1078.76,L,,2024.0,10.0
2056,Men,Running,React Infinity,3.0,3055.79,0.0,9167.37,2024/05/31,Retail,Bangalore,244.44,L,,2024.0,5.0
2048,Men,Lifestyle,Waffle One,3.0,6216.29,0.94,1118.93,2024/09/14,Online,Mumbai,642.02,M,,2024.0,9.0
2058,Women,Training,Flex Trainer,1.0,4985.92,0.0,4985.92,,Online,Kolkata,361.54,,11.0,,
2059,Kids,Soccer,Phantom GT,1.0,9507.54,0.0,9507.54,2023/12/27,Retail,Delhi,291.28,,,2023.0,12.0
2060,Men,Lifestyle,Waffle One,2.0,7979.26,0.0,15958.52,2024/07/11,Online,Bangalore,2821.59,L,,2024.0,7.0
2061,Women,Basketball,LeBron 20,1.0,6970.47,0.0,6970.47,2024/10/09,Online,Mumbai,501.68,L,,2024.0,10.0
2062,Men,Basketball,Air Jordan,2.0,6235.71,0.0,12471.42,2025/06/06,Online,Bangalore,1823.91,,,2025.0,6.0
2063,Women,Basketball,Air Jordan,1.0,9751.0,0.16,8190.84,2024/06/09,Retail,Pune,1130.31,M,,2024.0,6.0
2064,Kids,Running,React Infinity,2.0,7557.71,0.0,15115.42,2025/03/02,Online,Bangalore,3277.44,L,,2025.0,3.0
2065,Women,Lifestyle,Waffle One,1.0,5582.98,0.78,1228.26,2024/02/11,Retail,Hyderabad,21.58,,10.0,2024.0,2.0
2066,Men,Soccer,Phantom GT,1.0,5259.05,0.0,5259.05,2024/12/10,Online,Mumbai,1022.82,XL,,2024.0,12.0
2067,Kids,Basketball,LeBron 20,4.0,3588.38,0.0,14353.52,2025/06/05,Online,Kolkata,161.5,L,,2025.0,6.0
2068,Men,Running,Free RN,4.0,2553.29,0.0,10213.16,2024/12/05,Retail,Mumbai,984.9,,,2024.0,12.0
2069,Women,Training,SuperRep Go,1.0,7502.24,0.0,7502.24,2025/07/14,Online,Pune,3554.58,,,2025.0,7.0
2070,Kids,Running,React Infinity,1.0,7557.71,0.0,7557.71,,Retail,Mumbai,1112.43,L,,,
2071,Kids,Lifestyle,Blazer Mid,3.0,7849.81,0.49,12010.21,2025/01/12,Retail,Pune,882.96,M,,2025.0,1.0
2072,Men,Training,Flex Trainer,3.0,3270.23,0.0,9810.69,,Retail,Pune,3639.2,,,,
2073,Women,Lifestyle,Blazer Mid,4.0,7670.82,0.85,4602.49,2024/03/11,Online,Hyderabad,443.86,,12.0,2024.0,3.0
2074,Men,Training,Flex Trainer,1.0,3270.23,0.57,1406.2,,Online,Kolkata,1958.47,L,,,
2075,Kids,Basketball,Air Jordan,4.0,4251.74,0.0,17006.96,2025/07/14,Online,Pune,2345.35,L,,2025.0,7.0
2076,Women,Training,ZoomX Invincible,1.0,7978.89,0.0,7978.89,2024/10/13,Retail,Bangalore,2011.25,,11.0,2024.0,10.0
2077,Men,Training,ZoomX Invincible,2.0,5690.69,0.0,11381.38,2023/11/21,Online,Pune,3332.66,L,,2023.0,11.0
2078,Women,Basketball,LeBron 20,1.0,6970.47,0.0,6970.47,,Online,Mumbai,262.79,,,,
2079,Men,Running,Pegasus Turbo,1.0,4322.06,0.0,4322.06,2025/01/19,Online,Bangalore,279.78,XL,,2025.0,1.0
2080,Men,Lifestyle,Blazer Mid,1.0,7662.11,0.0,7662.11,2025/03/31,Online,Bangalore,1005.89,L,,2025.0,3.0
2081,Men,Training,ZoomX Invincible,1.0,5690.69,0.0,5690.69,,Online,Mumbai,2810.49,L,,,
2028,Men,Running,Free RN,1.0,7086.7,0.21,5598.49,2024/02/14,Online,Hyderabad,3303.01,,,2024.0,2.0
2083,Men,Running,Free RN,1.0,9291.74,0.0,9291.74,2024/10/14,Retail,Delhi,981.21,,,2024.0,10.0
2084,Men,Training,Metcon 7,2.0,4020.5,0.0,8041.0,2023/12/24,Online,Mumbai,408.39,M,,2023.0,12.0
2085,Men,Basketball,Kyrie Flytrap,1.0,7561.85,0.0,7561.85,2024/12/17,Retail,Kolkata,98.72,,,2024.0,12.0
2086,Men,Soccer,Mercurial Superfly,1.0,6196.01,0.45,3407.81,2024/10/11,Online,Kolkata,1742.66,L,,2024.0,10.0
